"date","ageSib","ethnicityCensus","geog","datacol"
2016,3,1,5,308
2016,3,1,6,332
2016,3,2,1,249
2016,3,2,2,155
2016,3,2,3,1723
2016,3,2,4,6214
2016,3,2,5,1279
2016,3,2,6,777
2016,3,3,1,198
2016,3,3,2,119
2016,3,3,3,695
2016,3,3,4,3568
2016,3,3,5,1816
2016,3,3,6,458
2016,3,4,1,61
2016,3,4,2,0
2016,3,4,3,102
2016,3,4,4,474
2016,3,4,5,433
2016,3,4,6,131
2016,3,5,1,15542
2016,3,5,2,11537
2016,3,5,3,17955
2016,3,5,4,22181
2016,3,5,5,16571
2016,3,5,6,19345
2016,3,6,1,2754
2016,3,6,2,5990
2016,3,6,3,2224
2016,3,6,4,3510
2016,3,6,5,1585
2016,3,6,6,1466
2016,3,8,1,511
2016,3,8,2,498
2016,3,8,3,895
2016,3,8,4,1667
2016,3,8,5,1491
2016,3,8,6,803
2016,3,9,1,5090
2016,3,9,2,10555
2016,3,9,3,4566
2016,3,9,4,6717
2016,3,9,5,3411
2016,3,9,6,3207
2016,3,10,1,964
2016,3,10,2,497
2016,3,10,3,2723
2016,3,10,4,8154
2016,3,10,5,3169
2016,3,10,6,1749
2016,3,11,1,13518
2016,3,11,2,7487
2016,3,11,3,16052
2016,3,11,4,19630
2016,3,11,5,15179
2016,3,11,6,17929
2016,3,12,1,188
2016,3,12,2,85
2016,3,12,3,644
2016,3,12,4,3467
2016,3,12,5,1724
2016,3,12,6,429
2015,0,0,1,184015
2015,0,0,2,144429
2015,0,0,3,251582
2015,0,0,4,424898
2015,0,0,5,241458
2015,0,0,6,239642
2015,0,1,1,1580
2015,0,1,2,1170
2015,0,1,3,1839
2015,0,1,4,1560
2015,0,1,5,1541
2015,0,1,6,1751
2015,0,2,1,1239
2015,0,2,2,911
2015,0,2,3,9551
2015,0,2,4,34581
2015,0,2,5,6526
2015,0,2,6,4105
2015,0,3,1,855
2015,0,3,2,479
2015,0,3,3,2945
2015,0,3,4,15108
2015,0,3,5,8203
2015,0,3,6,2117
2015,0,4,1,197
2015,0,4,2,0
2015,0,4,3,409
2015,0,4,4,1812
2015,0,4,5,1640
2015,0,4,6,538
